Name,ROM,Display,Camera,Discount,Rating,Selling Price,MRP
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,35% off,4.3,"₹21,999","₹33,999"
"Samsung Galaxy F16 5G (Glam Green, 128 GB)",8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,23% off,4.2,"₹14,499","₹18,999"
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,32% off,4.1,"₹8,499","₹12,499"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,32% off,4.1,"₹9,499","₹13,999"
"Google Pixel 7 (Lemongrass, 128 GB)",8 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,50% off,4.3,"₹29,999","₹59,999"
"Google Pixel 8a (Obsidian, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Google Pixel 8a (Porcelain, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Google Pixel 9A (Obsidian, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 9A (Porcelain, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 8 Pro (Obsidian, 128 GB)",12 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50MP + 48MP + 48MP | 10.5MP Front Camera,43% off,4.4,"₹59,999","₹1,06,999"
"Google Pixel 9A (Iris, 256 GB)",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,,4.4,"₹49,999",
"Google Pixel 9 (Porcelain, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
